2025-11-22 18:09:30,473 | AEGIS.MAIN           | INFO     | --- INITIALIZING FORENSIC SUBSYSTEMS ---
2025-11-22 18:09:30,479 | AEGIS.CORE.DB        | INFO     | Verifying Forensic Schema Definition...
2025-11-22 18:09:30,482 | AEGIS.CORE.DB        | INFO     | Schema deployed. Immutability locks active.
2025-11-22 18:09:30,482 | AEGIS.MAIN           | INFO     | Session Registry Created: 4a509188-2b2d-430e-adbc-429e58d1a724
2025-11-22 18:09:30,482 | AEGIS.COMPLIANCE.TEMPORAL | INFO     | Temporal Detector Initialized. Watching for >1874s patterns.
2025-11-22 18:09:30,482 | AEGIS.AI.JUDGE       | WARNING  | No AI Model found. Running in Heuristic Mode.
2025-11-22 18:09:30,482 | AEGIS.MAIN           | INFO     | ALL SYSTEMS ONLINE. READY FOR AUDIT.
2025-11-22 18:09:30,482 | AEGIS.MAIN           | INFO     | Acquisition Thread Started.
2025-11-22 18:09:30,584 | AEGIS.MAIN           | INFO     | Session 4a509188-2b2d-430e-adbc-429e58d1a724 Finalized. Evidence Chain Sealed.
2025-11-22 18:09:30,584 | AEGIS.MAIN           | CRITICAL | FATAL SYSTEM ERROR: name 'dt' is not defined
2025-11-22 18:10:36,087 | AEGIS.MAIN           | INFO     | --- INITIALIZING FORENSIC SUBSYSTEMS ---
2025-11-22 18:10:36,088 | AEGIS.CORE.DB        | INFO     | Verifying Forensic Schema Definition...
2025-11-22 18:10:36,088 | AEGIS.CORE.DB        | INFO     | Schema deployed. Immutability locks active.
2025-11-22 18:10:36,089 | AEGIS.MAIN           | INFO     | Session Registry Created: 6b0fb67a-19d9-4da5-a39f-1f4f3e24fabe
2025-11-22 18:10:36,089 | AEGIS.COMPLIANCE.TEMPORAL | INFO     | Temporal Detector Initialized. Watching for >1874s patterns.
2025-11-22 18:10:36,089 | AEGIS.AI.JUDGE       | WARNING  | No AI Model found. Running in Heuristic Mode.
2025-11-22 18:10:36,089 | AEGIS.MAIN           | INFO     | ALL SYSTEMS ONLINE. READY FOR AUDIT.
2025-11-22 18:10:36,089 | AEGIS.MAIN           | INFO     | Acquisition Thread Started.
2025-11-22 18:10:36,201 | AEGIS.MAIN           | INFO     | Session 6b0fb67a-19d9-4da5-a39f-1f4f3e24fabe Finalized. Evidence Chain Sealed.
2025-11-22 18:10:36,204 | AEGIS.MAIN           | CRITICAL | FATAL SYSTEM ERROR: 'nox_actual'
2025-11-22 18:16:30,774 | AEGIS.MAIN           | INFO     | --- INITIALIZING FORENSIC SUBSYSTEMS ---
2025-11-22 18:16:30,774 | AEGIS.CORE.DB        | INFO     | Verifying Forensic Schema Definition...
2025-11-22 18:16:30,774 | AEGIS.CORE.DB        | INFO     | Schema deployed. Immutability locks active.
2025-11-22 18:16:30,776 | AEGIS.MAIN           | INFO     | Session Registry Created: 26f9179e-2002-45b9-b138-5f56a9b37f4f
2025-11-22 18:16:30,776 | AEGIS.COMPLIANCE.TEMPORAL | INFO     | Temporal Detector Initialized. Watching for >1874s patterns.
2025-11-22 18:16:30,776 | AEGIS.AI.JUDGE       | WARNING  | No AI Model found. Running in Heuristic Mode.
